-65628.00  0.000  1.600  -4.200
-65598.00  0.000  1.300  -3.900
-65568.00  0.000  1.400  -4.300
-65538.00  0.100  1.700  -3.400
-65508.00  0.300  1.700  -2.600
-65478.00  -0.100  1.800  -4.600
-65448.00  -0.200  1.500  -5.100
-65418.00  -0.200  1.500  -4.100
-65388.00  -0.300  1.500  -3.900
-65358.00  0.000  1.600  -3.800
-65328.00  -0.200  1.500  -2.500
-65298.00  0.100  1.600  -3.500
-65268.00  -0.300  1.700  -3.500
-65238.00  -0.300  1.400  -4.000
-65208.00  -0.100  1.400  -2.900
-65178.00  0.200  1.100  -3.500
-65148.00  0.200  1.600  -3.600
-65118.00  -0.100  1.800  -4.600
-65088.00  0.200  1.500  -4.400
-65058.00  0.200  1.900  -4.500
-65028.00  0.100  1.600  -3.600
-64998.00  0.100  1.600  -3.700
-64968.00  -0.100  1.800  -4.400
-64938.00  0.100  1.800  -4.100
-64908.00  0.300  1.900  -3.500
-64878.00  0.100  1.800  -3.000
-64848.00  -0.200  1.800  -3.500
-64818.00  0.000  1.900  -3.200
-64788.00  0.000  1.600  -2.600
-64758.00  0.000  1.700  -2.900
-64728.00  0.200  1.800  -2.300
-64698.00  -0.100  1.500  -3.000
-64668.00  0.200  1.900  -3.400
-64638.00  -0.100  1.700  -3.800
-64608.00  0.000  2.100  -3.500
-64578.00  -0.200  2.300  -3.300
-64548.00  0.100  2.300  -3.200
-64518.00  0.000  2.300  -3.400
-64488.00  -0.300  2.000  -3.700
-64458.00  0.000  1.900  -4.100
-64428.00  0.200  2.000  -3.300
-64398.00  -0.100  1.700  -3.200
-64368.00  -0.100  1.900  -3.700
-64338.00  0.000  2.100  -2.500
-64308.00  0.100  1.700  -3.800
-64278.00  0.100  1.700  -4.000
-64248.00  -0.100  2.100  -3.100
-64218.00  0.200  2.100  -3.900
-64188.00  -0.300  2.300  -3.500
-64158.00  -0.300  1.900  -3.700
-64128.00  -0.100  2.000  -4.100
-64098.00  -0.300  1.800  -4.900
-64068.00  0.000  1.800  -4.800
-64038.00  0.400  2.100  -4.700
-64008.00  0.200  2.500  -3.600
-63978.00  0.000  2.100  -3.900
-63948.00  -0.200  1.800  -4.200
-63918.00  -0.100  2.100  -4.700
-63888.00  -0.100  1.900  -4.600
-63858.00  0.100  2.200  -3.800
-63828.00  0.100  1.800  -3.700
-63798.00  -0.300  2.000  -4.000
-63768.00  -0.300  2.000  -4.000
-63738.00  0.000  2.000  -3.200
-63708.00  -0.400  2.100  -4.500
-63678.00  -0.400  1.900  -4.200
-63648.00  -0.600  1.600  -4.400
-63618.00  -0.400  1.500  -5.500
-63588.00  0.000  1.800  -4.500
-63558.00  0.000  2.100  -3.800
-63528.00  -0.500  1.700  -4.000
-63498.00  -0.500  1.600  -4.200
-63468.00  -0.400  1.400  -5.000
-63438.00  -0.200  1.500  -4.600
-63408.00  -0.500  1.900  -4.500
-63378.00  -0.700  1.700  -4.900
-63348.00  -0.700  1.800  -4.600
-63318.00  -0.300  2.100  -4.700
-63288.00  -0.200  1.700  -5.700
-63258.00  -0.300  1.400  -5.400
-63228.00  -0.200  2.100  -4.300
-63198.00  -0.200  1.900  -4.300
-63168.00  -0.100  1.400  -4.900
-63138.00  -0.200  1.000  -4.500
-63108.00  -0.300  1.400  -4.600
-63078.00  0.300  1.300  -4.900
-63048.00  0.500  1.700  -4.900
-63018.00  0.000  1.400  -4.700
-62988.00  0.100  1.300  -4.900
-62958.00  0.200  1.700  -5.200
-62928.00  -0.200  1.600  -4.300
-62898.00  -0.200  1.300  -4.500
-62868.00  -0.100  1.600  -6.100
-62838.00  -0.100  1.800  -5.100
-62808.00  -0.300  1.800  -5.400
-62778.00  -0.200  1.700  -4.800
-62748.00  -0.700  1.600  -5.000
-62718.00  -0.600  1.100  -4.200
-62688.00  -0.500  1.400  -5.100
-62658.00  0.000  1.500  -4.900
-62628.00  -0.100  1.700  -4.800
-62598.00  -0.700  2.000  -4.300
-62568.00  -0.500  2.300  -4.200
-62538.00  -0.600  2.200  -3.000
-62508.00  -0.300  2.000  -4.500
-62478.00  -0.300  1.600  -4.200
-62448.00  -0.200  2.200  -4.100
-62418.00  -0.400  1.800  -3.300
-62388.00  -0.500  1.800  -4.100
-62358.00  0.000  2.000  -4.100
-62328.00  -0.300  2.000  -4.200
-62298.00  -0.400  2.300  -4.000
-62268.00  -0.300  1.800  -4.600
-62238.00  -0.200  1.700  -4.400
-62208.00  -0.300  1.600  -3.600
-62178.00  -0.200  1.600  -4.400
-62148.00  -0.500  2.000  -4.700
-62118.00  -0.200  1.500  -5.200
-62088.00  -0.300  1.700  -3.900
-62058.00  -0.400  1.900  -3.400
-62028.00  -0.400  1.800  -4.000
-61998.00  -0.200  1.800  -4.200
-61968.00  -0.600  1.500  -5.300
-61938.00  -1.000  1.400  -4.900
-61908.00  -1.000  1.700  -5.100
-61878.00  -0.600  1.900  -4.900
-61848.00  -0.800  1.600  -5.100
-61818.00  -0.900  2.100  -4.400
-61788.00  -0.200  1.900  -4.500
-61758.00  -0.700  1.900  -4.600
-61728.00  -0.300  2.600  -4.100
-61698.00  -0.400  2.600  -4.200
-61668.00  -0.100  2.000  -4.000
-61638.00  -0.700  2.100  -3.400
-61608.00  -0.500  1.700  -4.200
-61578.00  -0.400  1.700  -4.600
-61548.00  -0.400  2.100  -4.200
-61518.00  -0.900  1.700  -4.400
-61488.00  -0.500  1.500  -4.600
-61458.00  -0.300  1.500  -4.800
-61428.00  0.000  2.000  -4.100
-61398.00  -0.400  1.800  -4.700
-61368.00  0.000  1.500  -4.300
-61338.00  -0.500  1.600  -4.400
-61308.00  -0.200  1.600  -4.900
-61278.00  -0.400  1.700  -4.700
-61248.00  -0.500  1.800  -3.200
